dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
dka,s8_h0p50_m0p40_e0p10,42,8,0.5,0.4,0.1,distance_only,0.9213483146067416,0.9820415879017014,0.9780023700665605,0.9534883720930233,0.8913043478260869,0.9565217391304348,0.9504950495049505,0.9965986394557823,0.9828730690567593,0.9230769230769231,0.9795918367346939,0.9819819819819819,0.9245283018867925,0.992445054945055,0.951076626365805,0.8596491228070176,1.0,0.9615384615384616,outputs\dka_sdss32_final_s8_h0p50_m0p40_e0p10_seed42_20260519_131725\20260519_150845
dka,s8_h0p50_m0p40_e0p10,52,8,0.5,0.4,0.1,distance_only,0.968421052631579,0.998109640831758,0.998196443038463,0.9387755102040817,1.0,0.9347826086956522,0.8648648648648649,0.9941165655451369,0.9779792318082727,0.7741935483870968,0.9795918367346939,0.9369369369369369,0.8909090909090909,0.9931318681318682,0.9599548402203932,0.8032786885245902,1.0,0.9423076923076923,outputs\dka_sdss32_final_s8_h0p50_m0p40_e0p10_seed52_20260519_131725\20260519_150933
dka,s8_h0p50_m0p40_e0p10,62,8,0.5,0.4,0.1,distance_only,0.989247311827957,1.0,0.9999999999999999,0.9787234042553191,1.0,0.9782608695652174,0.875,0.9954954954954954,0.9683482933622497,0.7777777777777778,1.0,0.9369369369369369,0.8376068376068376,0.9926412872841445,0.9677629017619324,0.7205882352941176,1.0,0.9086538461538461,outputs\dka_sdss32_final_s8_h0p50_m0p40_e0p10_seed62_20260519_131725\20260519_151010
dka,s8_h0p50_m0p40_e0p10,72,8,0.5,0.4,0.1,distance_only,0.989247311827957,1.0,0.9999999999999999,0.9787234042553191,1.0,0.9782608695652174,0.8596491228070176,0.9943004228718514,0.9761988201189781,0.7538461538461538,1.0,0.9279279279279279,0.9074074074074074,0.9909733124018839,0.9410266005326551,0.8305084745762712,1.0,0.9519230769230769,outputs\dka_sdss32_final_s8_h0p50_m0p40_e0p10_seed72_20260519_131725\20260519_151044
dka,s8_h0p50_m0p40_e0p10,82,8,0.5,0.4,0.1,distance_only,0.968421052631579,0.9891304347826088,0.9874288076867929,0.9387755102040817,1.0,0.9347826086956522,0.7933884297520661,0.9920941349512777,0.9679971100955175,0.6666666666666666,0.9795918367346939,0.8918918918918919,0.8521739130434782,0.9879317111459969,0.9299579405179416,0.7424242424242424,1.0,0.9182692307692307,outputs\dka_sdss32_final_s8_h0p50_m0p40_e0p10_seed82_20260519_131725\20260519_151121
dka,s8_h0p50_m0p35_e0p15,42,8,0.5,0.35,0.15,distance_only,0.967741935483871,0.9810964083175804,0.9769376467464025,0.9574468085106383,0.9782608695652174,0.9565217391304348,0.9245283018867925,0.9977937120794265,0.99021729318781,0.8596491228070176,1.0,0.963963963963964,0.8828828828828829,0.9917582417582418,0.9531219415853436,0.7903225806451613,1.0,0.9375,outputs\dka_sdss32_final_s8_h0p50_m0p35_e0p15_seed42_20260519_131725\20260519_151206
dka,s8_h0p50_m0p35_e0p15,52,8,0.5,0.35,0.15,distance_only,0.9583333333333334,0.9929111531190926,0.992923638225505,0.92,1.0,0.9130434782608695,0.7966101694915254,0.9880492737635596,0.9534138439614273,0.6811594202898551,0.9591836734693877,0.9009009009009009,0.8166666666666667,0.9832221350078493,0.9019098938197776,0.6901408450704225,1.0,0.8942307692307693,outputs\dka_sdss32_final_s8_h0p50_m0p35_e0p15_seed52_20260519_131725\20260519_151251
dka,s8_h0p50_m0p35_e0p15,62,8,0.5,0.35,0.15,distance_only,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.8990825688073395,0.9966905681191396,0.9848876847057668,0.8166666666666667,1.0,0.9504504504504504,0.8909090909090909,0.9921507064364208,0.9591421329960754,0.8032786885245902,1.0,0.9423076923076923,outputs\dka_sdss32_final_s8_h0p50_m0p35_e0p15_seed62_20260519_131725\20260519_151333
dka,s8_h0p50_m0p35_e0p15,72,8,0.5,0.35,0.15,distance_only,0.968421052631579,0.998109640831758,0.998087712584153,0.9387755102040817,1.0,0.9347826086956522,0.875,0.9929214929214929,0.9610424715395277,0.7777777777777778,1.0,0.9369369369369369,0.8032786885245902,0.9885204081632653,0.9217254637702207,0.6712328767123288,1.0,0.8846153846153846,outputs\dka_sdss32_final_s8_h0p50_m0p35_e0p15_seed72_20260519_131725\20260519_151419
dka,s8_h0p50_m0p35_e0p15,82,8,0.5,0.35,0.15,distance_only,0.9565217391304348,0.9891304347826088,0.9883620445133409,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8910891089108911,0.9907152050009193,0.950934857730247,0.8653846153846154,0.9183673469387755,0.9684684684684685,0.9320388349514563,0.9891091051805337,0.9311794794577924,0.8888888888888888,0.9795918367346939,0.9711538461538461,outputs\dka_sdss32_final_s8_h0p50_m0p35_e0p15_seed82_20260519_131725\20260519_151508
