dataset,profile_id,seed,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,val_f1,val_auc,val_pr_auc,val_precision,val_recall,val_specificity,test1_f1_report_only,test1_auc_report_only,test1_pr_auc_report_only,test1_precision_report_only,test1_recall_report_only,test1_specificity_report_only,test2_f1_report_only,test2_auc_report_only,test2_pr_auc_report_only,test2_precision_report_only,test2_recall_report_only,test2_specificity_report_only,saved_dir
dn,s12_h0p45_m0p35_e0p20,82,12,0.45,0.35,0.2,distance_only,0.9659090909090909,0.9987543252595155,0.9987837701938675,0.9340659340659341,1.0,0.9294117647058824,0.7531380753138075,0.9669090308188053,0.8399605327359726,0.6081081081081081,0.989010989010989,0.7819548872180451,0.7792207792207793,0.9571221231598591,0.7762363365370609,0.6428571428571429,0.989010989010989,0.8113207547169812,outputs\dn_sdss32_final_s12_h0p45_m0p35_e0p20_seed82_20260519_002234\20260519_034122
dn,s12_h0p50_m0p40_e0p10,42,12,0.5,0.4,0.1,distance_only,0.9826589595375722,0.9982006920415225,0.9982140269010007,0.9659090909090909,1.0,0.9647058823529412,0.8516746411483254,0.9653391721060893,0.8568353881732867,0.7542372881355932,0.978021978021978,0.8909774436090225,0.861244019138756,0.9663072776280324,0.8055729271131769,0.7627118644067796,0.989010989010989,0.8943396226415095,outputs\dn_sdss32_final_s12_h0p50_m0p40_e0p10_seed42_20260519_002234\20260519_034206
dn,s12_h0p50_m0p40_e0p10,52,12,0.5,0.4,0.1,distance_only,0.9759036144578314,1.0,0.9999999999999998,1.0,0.9529411764705882,1.0,0.8877551020408163,0.9883913079401802,0.976127348362751,0.8285714285714286,0.9560439560439561,0.9323308270676691,0.9175257731958762,0.9890524569769853,0.9632593622126046,0.8640776699029126,0.978021978021978,0.9471698113207547,outputs\dn_sdss32_final_s12_h0p50_m0p40_e0p10_seed52_20260519_002234\20260519_034246
dn,s12_h0p50_m0p40_e0p10,62,12,0.5,0.4,0.1,distance_only,0.9883720930232558,0.9998615916955018,0.9998632010943911,0.9770114942528736,1.0,0.9764705882352941,0.8294930875576036,0.9829587705527555,0.9459219363503525,0.7142857142857143,0.989010989010989,0.8646616541353384,0.8585365853658536,0.9761351855691479,0.8918613086912813,0.7719298245614035,0.967032967032967,0.9018867924528302,outputs\dn_sdss32_final_s12_h0p50_m0p40_e0p10_seed62_20260519_002234\20260519_034322
dn,s12_h0p50_m0p40_e0p10,72,12,0.5,0.4,0.1,distance_only,0.9941520467836257,0.9990311418685122,0.9990072191941349,0.9883720930232558,1.0,0.9882352941176471,0.8695652173913043,0.9868627612988515,0.9587940236009281,0.7758620689655172,0.989010989010989,0.9022556390977443,0.88,0.9888036491810077,0.9658367076290354,0.8073394495412844,0.967032967032967,0.9207547169811321,outputs\dn_sdss32_final_s12_h0p50_m0p40_e0p10_seed72_20260519_002234\20260519_034358
dn,s12_h0p50_m0p40_e0p10,82,12,0.5,0.4,0.1,distance_only,0.9822485207100592,0.9988927335640139,0.9989114515013242,0.9880952380952381,0.9764705882352941,0.9882352941176471,0.8599033816425121,0.9790547798066596,0.9458482888235854,0.7672413793103449,0.978021978021978,0.8984962406015038,0.883248730964467,0.9752436243002282,0.9152532517307906,0.8207547169811321,0.9560439560439561,0.9283018867924528,outputs\dn_sdss32_final_s12_h0p50_m0p40_e0p10_seed82_20260519_002234\20260519_034433
dn,s12_h0p50_m0p35_e0p15,42,12,0.5,0.35,0.15,distance_only,0.9826589595375722,0.9983391003460208,0.9983080091840888,0.9659090909090909,1.0,0.9647058823529412,0.7860262008733624,0.9743658597042056,0.9142878830669715,0.6521739130434783,0.989010989010989,0.8195488721804511,0.8088888888888889,0.9741654571843251,0.8973689096896658,0.6791044776119403,1.0,0.8377358490566038,outputs\dn_sdss32_final_s12_h0p50_m0p35_e0p15_seed42_20260519_002234\20260519_034510
dn,s12_h0p50_m0p35_e0p15,52,12,0.5,0.35,0.15,distance_only,0.9696969696969697,0.9997231833910035,0.9997247927898928,1.0,0.9411764705882353,1.0,0.8557692307692307,0.972837313062877,0.9410147729973201,0.7606837606837606,0.978021978021978,0.8947368421052632,0.8516746411483254,0.9762388554841386,0.9141310180213027,0.7542372881355932,0.978021978021978,0.8905660377358491,outputs\dn_sdss32_final_s12_h0p50_m0p35_e0p15_seed52_20260519_002234\20260519_034545
dn,s12_h0p50_m0p35_e0p15,62,12,0.5,0.35,0.15,distance_only,0.9824561403508771,0.9993079584775086,0.9993328408693284,0.9767441860465116,0.9882352941176471,0.9764705882352941,0.8653846153846154,0.9844253490870032,0.9565924808896658,0.7692307692307693,0.989010989010989,0.8984962406015038,0.8695652173913043,0.9839518971594444,0.9496747008094235,0.7758620689655172,0.989010989010989,0.9018867924528302,outputs\dn_sdss32_final_s12_h0p50_m0p35_e0p15_seed62_20260519_002234\20260519_034620
dn,s12_h0p50_m0p35_e0p15,72,12,0.5,0.35,0.15,distance_only,0.9826589595375722,0.9980622837370242,0.9980184602094189,0.9659090909090909,1.0,0.9647058823529412,0.827906976744186,0.9859538957283318,0.9443227290677971,0.717741935483871,0.978021978021978,0.868421052631579,0.8490566037735849,0.9769438109060751,0.9177659234123201,0.743801652892562,0.989010989010989,0.8830188679245283,outputs\dn_sdss32_final_s12_h0p50_m0p35_e0p15_seed72_20260519_002234\20260519_034656
