dataset,profile_id,strata,hard_ratio,mid_ratio,easy_ratio,ranking_mode,n_seeds,val_f1_mean,val_f1_std,val_auc_mean,val_auc_std,val_pr_auc_mean,val_pr_auc_std,test1_f1_report_only_mean,test1_f1_report_only_std,test1_auc_report_only_mean,test1_auc_report_only_std,test1_pr_auc_report_only_mean,test1_pr_auc_report_only_std,test2_f1_report_only_mean,test2_f1_report_only_std,test2_auc_report_only_mean,test2_auc_report_only_std,test2_pr_auc_report_only_mean,test2_pr_auc_report_only_std,selection_score,mean_external_f1_report_only
dn,s6_h0p65_m0p25_e0p10,6,0.65,0.25,0.1,distance_only,5,0.9813857968873378,0.010198134060009694,0.9980622837370243,0.0023014933077254002,0.9980392673506501,0.00238004376307726,0.8486627263841655,0.03911649562610447,0.9816491778897793,0.00789084355430386,0.944864101791558,0.025774302002961012,0.8559935272300443,0.04719816907314974,0.9851337341903381,0.006066807359030148,0.9485818678986583,0.024418462422047905,1.0261898440441841,0.8523281268071049
dn,s8_h0p45_m0p35_e0p20,8,0.45,0.35,0.2,distance_only,5,0.9803836888905518,0.008452964856440181,0.9986435986159169,0.0006143208587175697,0.9986420266610404,0.0006344724219163753,0.8157514967809695,0.04536317494961476,0.9791291415351566,0.007164125447791667,0.9336974775134926,0.024601365391915153,0.8456903447405875,0.04688776088041299,0.978457391664939,0.005862659726852254,0.9101576612911266,0.03249860212090152,1.0260893863931275,0.8307209207607784
dn,s4_h0p65_m0p25_e0p10,4,0.65,0.25,0.1,distance_only,5,0.98440685755815,0.017596649862073863,0.9994740484429065,0.0009508962788826204,0.9994681515985201,0.0009681173145243327,0.83365260399843,0.038100468660323406,0.9782409320003305,0.002523318865080426,0.9409862682226086,0.014297276569414147,0.8502974399481527,0.02371435079069882,0.9812938005390837,0.002981529452731234,0.9345069676998964,0.017863670974453134,1.0255822350492585,0.8419750219732913
dn,s12_h0p55_m0p35_e0p10,12,0.55,0.35,0.1,distance_only,5,0.9791754462661244,0.007586724819772483,0.998477508650519,0.0013736632000885692,0.9985002001912381,0.0013713004313910364,0.8228541487988597,0.05577726272615814,0.9768569776088574,0.00854927340964281,0.9374764157864115,0.03165312910557306,0.8373369073940985,0.04056684663722704,0.9760605432303546,0.00609518446701156,0.9075473230172605,0.03502152386019303,1.0253059592887641,0.830095528096479
dn,s4_h0p50_m0p30_e0p20,4,0.5,0.3,0.2,distance_only,5,0.982187743882488,0.01763816723305945,0.9991972318339102,0.0011003242582340203,0.9991810278636523,0.0011218115221815921,0.8251825867837816,0.07373330427737379,0.9783194249359664,0.007895114067863127,0.9463212261829028,0.02744927243512484,0.8271178209995409,0.046748748127505575,0.9812108646070911,0.00912653785126377,0.9205919256237344,0.05536751338483416,1.0233285218576536,0.8261502038916613
dn,s12_h0p45_m0p40_e0p15,12,0.45,0.4,0.15,distance_only,5,0.9757555565560608,0.00592683075831598,0.9994740484429065,0.00041981317337313524,0.9994848960605729,0.0004108450141686349,0.8133393427791009,0.058085629090421774,0.975762207717095,0.006170480291359243,0.9255701656540742,0.015967090397146697,0.8253338737382758,0.05005446643380132,0.976056396433755,0.0035411554933755733,0.901086048524822,0.012916288602300716,1.022765843599048,0.8193366082586884
dn,s8_h0p50_m0p40_e0p10,8,0.5,0.4,0.1,distance_only,5,0.9780539646623024,0.010817966481247155,0.9986435986159169,0.0012924697610993746,0.9986591653944042,0.0012788034188325106,0.8059328902316597,0.06074068730176122,0.9728703627199868,0.011467780087574047,0.9236770925900599,0.03137302151943676,0.8256927420320057,0.04909633961292613,0.9748455318266641,0.013028445324608272,0.9081401655833797,0.044780487179029105,1.0225771613524746,0.8158128161318328
dn,s8_h0p60_m0p25_e0p15,8,0.6,0.25,0.15,distance_only,5,0.9770475062160049,0.009587009615516133,0.998560553633218,0.0014601912132764677,0.9985627894967275,0.0014815285707611922,0.7908136039952867,0.0291795959132176,0.9794431132776997,0.004773184821439592,0.943016562370189,0.01766923686397412,0.8082394625169478,0.027114334897255288,0.979755339000622,0.005841606072822839,0.932566212582851,0.025676628043443367,1.0221820290899077,0.7995265332561172
dn,s12_h0p55_m0p30_e0p15,12,0.55,0.3,0.15,distance_only,5,0.9769917561469168,0.010339436395626199,0.9977024221453288,0.0013079401694037318,0.9977323154977238,0.0013312119818083455,0.8227903038716045,0.06884634979028556,0.978397917871602,0.014722048033883094,0.9305566693022312,0.04768707124319507,0.8297622553221174,0.07544565536208159,0.9734729421521875,0.009294302463322924,0.8990636376067673,0.04386924071907367,1.02170715905637,0.826276279596861
dn,s12_h0p55_m0p25_e0p20,12,0.55,0.25,0.2,distance_only,5,0.9779497071374841,0.0124497008991144,0.9975916955017301,0.002526851998581783,0.9975717774736121,0.002538152363217777,0.8302274923218889,0.03944838351606201,0.9810955961331903,0.0101806641013332,0.946470159786714,0.03484226196072621,0.839336131574884,0.036637532675970766,0.9771635911258553,0.005928117327090982,0.9191260173928842,0.027422607229263495,1.0216044414630134,0.8347818119483864
